date,flavor,temperature,precipitation,units_sold
2022-01-30,vanilla,2.2,0.0,14
2022-01-30,chocolate,2.2,0.0,7
2022-01-30,strawberry,2.2,0.0,4
2022-01-30,mango,2.2,0.0,2
2022-01-31,vanilla,6.6,0.0,13
2022-01-31,chocolate,6.6,0.0,13
2022-01-31,strawberry,6.6,0.0,6
2022-01-31,mango,6.6,0.0,0
2022-02-01,vanilla,0.4,5.7,0
2022-02-01,chocolate,0.4,5.7,6
2022-02-01,strawberry,0.4,5.7,2
2022-02-01,mango,0.4,5.7,0
2022-02-02,vanilla,0.3,4.5,5
2022-02-02,chocolate,0.3,4.5,7
2022-02-02,strawberry,0.3,4.5,6
2022-02-02,mango,0.3,4.5,1
2022-02-03,vanilla,-0.3,0.0,12
2022-02-03,chocolate,-0.3,0.0,11
2022-02-03,strawberry,-0.3,0.0,6
2022-02-03,mango,-0.3,0.0,2
2022-02-04,vanilla,3.4,0.0,5
2022-02-04,chocolate,3.4,0.0,22
2022-02-04,strawberry,3.4,0.0,7
2022-02-04,mango,3.4,0.0,1
2022-02-05,vanilla,4.9,0.0,12
2022-02-05,chocolate,4.9,0.0,22
2022-02-05,strawberry,4.9,0.0,11
2022-02-05,mango,4.9,0.0,0
2022-02-06,vanilla,1.9,0.0,16
2022-02-06,chocolate,1.9,0.0,13
2022-02-06,strawberry,1.9,0.0,9
2022-02-06,mango,1.9,0.0,0
2022-02-07,vanilla,0.3,0.8,9
2022-02-07,chocolate,0.3,0.8,7
2022-02-07,strawberry,0.3,0.8,6
2022-02-07,mango,0.3,0.8,0
2022-02-08,vanilla,0.5,0.0,15
2022-02-08,chocolate,0.5,0.0,19
2022-02-08,strawberry,0.5,0.0,7
2022-02-08,mango,0.5,0.0,1
2022-02-09,vanilla,4.4,0.0,7
2022-02-09,chocolate,4.4,0.0,15
2022-02-09,strawberry,4.4,0.0,5
2022-02-09,mango,4.4,0.0,0
2022-02-10,vanilla,4.8,16.4,2
2022-02-10,chocolate,4.8,16.4,1
2022-02-10,strawberry,4.8,16.4,1
2022-02-10,mango,4.8,16.4,0
2022-02-11,vanilla,4.4,0.0,11
2022-02-11,chocolate,4.4,0.0,19
2022-02-11,strawberry,4.4,0.0,9
2022-02-11,mango,4.4,0.0,3
2022-02-12,vanilla,1.6,0.0,7
2022-02-12,chocolate,1.6,0.0,15
2022-02-12,strawberry,1.6,0.0,5
2022-02-12,mango,1.6,0.0,1
2022-02-13,vanilla,4.0,0.0,14
2022-02-13,chocolate,4.0,0.0,15
2022-02-13,strawberry,4.0,0.0,4
2022-02-13,mango,4.0,0.0,0
2022-02-14,vanilla,3.9,0.0,3
2022-02-14,chocolate,3.9,0.0,13
2022-02-14,strawberry,3.9,0.0,13
2022-02-14,mango,3.9,0.0,2
2022-02-15,vanilla,4.4,0.0,2
2022-02-15,chocolate,4.4,0.0,17
2022-02-15,strawberry,4.4,0.0,9
2022-02-15,mango,4.4,0.0,0
2022-02-16,vanilla,6.2,21.0,0
2022-02-16,chocolate,6.2,21.0,2
2022-02-16,strawberry,6.2,21.0,1
2022-02-16,mango,6.2,21.0,0
2022-02-17,vanilla,4.8,0.0,10
2022-02-17,chocolate,4.8,0.0,3
2022-02-17,strawberry,4.8,0.0,6
2022-02-17,mango,4.8,0.0,2
2022-02-18,vanilla,6.1,0.0,8
2022-02-18,chocolate,6.1,0.0,9
2022-02-18,strawberry,6.1,0.0,9
2022-02-18,mango,6.1,0.0,2
2022-02-19,vanilla,4.7,1.3,14
2022-02-19,chocolate,4.7,1.3,16
2022-02-19,strawberry,4.7,1.3,11
2022-02-19,mango,4.7,1.3,2
2022-02-20,vanilla,5.5,10.6,4
2022-02-20,chocolate,5.5,10.6,4
2022-02-20,strawberry,5.5,10.6,2
2022-02-20,mango,5.5,10.6,0
2022-02-21,vanilla,6.6,1.4,4
2022-02-21,chocolate,6.6,1.4,8
2022-02-21,strawberry,6.6,1.4,6
2022-02-21,mango,6.6,1.4,2
2022-02-22,vanilla,1.5,2.7,6
2022-02-22,chocolate,1.5,2.7,12
2022-02-22,strawberry,1.5,2.7,8
2022-02-22,mango,1.5,2.7,0
2022-02-23,vanilla,4.6,0.0,11
2022-02-23,chocolate,4.6,0.0,10
2022-02-23,strawberry,4.6,0.0,11
2022-02-23,mango,4.6,0.0,2
2022-02-24,vanilla,4.4,0.0,4
2022-02-24,chocolate,4.4,0.0,12
2022-02-24,strawberry,4.4,0.0,12
2022-02-24,mango,4.4,0.0,1
2022-02-25,vanilla,4.2,0.0,10
2022-02-25,chocolate,4.2,0.0,13
2022-02-25,strawberry,4.2,0.0,4
2022-02-25,mango,4.2,0.0,1
2022-02-26,vanilla,5.3,0.9,5
2022-02-26,chocolate,5.3,0.9,10
2022-02-26,strawberry,5.3,0.9,12
2022-02-26,mango,5.3,0.9,1
2022-02-27,vanilla,9.9,0.0,10
2022-02-27,chocolate,9.9,0.0,17
2022-02-27,strawberry,9.9,0.0,9
2022-02-27,mango,9.9,0.0,1
2022-02-28,vanilla,4.2,0.0,11
2022-02-28,chocolate,4.2,0.0,8
2022-02-28,strawberry,4.2,0.0,7
2022-02-28,mango,4.2,0.0,0
2022-03-01,vanilla,9.0,0.0,3
2022-03-01,chocolate,9.0,0.0,8
2022-03-01,strawberry,9.0,0.0,12
2022-03-01,mango,9.0,0.0,1
2022-03-02,vanilla,2.6,0.0,4
2022-03-02,chocolate,2.6,0.0,5
2022-03-02,strawberry,2.6,0.0,7
2022-03-02,mango,2.6,0.0,3
2022-03-03,vanilla,6.2,0.0,8
2022-03-03,chocolate,6.2,0.0,17
2022-03-03,strawberry,6.2,0.0,8
2022-03-03,mango,6.2,0.0,1
2022-03-04,vanilla,7.7,0.0,4
2022-03-04,chocolate,7.7,0.0,15
2022-03-04,strawberry,7.7,0.0,6
2022-03-04,mango,7.7,0.0,2
2022-03-05,vanilla,8.9,9.7,2
2022-03-05,chocolate,8.9,9.7,5
2022-03-05,strawberry,8.9,9.7,4
2022-03-05,mango,8.9,9.7,0
2022-03-06,vanilla,9.5,2.8,9
2022-03-06,chocolate,9.5,2.8,9
2022-03-06,strawberry,9.5,2.8,5
2022-03-06,mango,9.5,2.8,3
2022-03-07,vanilla,9.9,0.0,12
2022-03-07,chocolate,9.9,0.0,8
2022-03-07,strawberry,9.9,0.0,10
2022-03-07,mango,9.9,0.0,0
2022-03-08,vanilla,7.2,0.0,4
2022-03-08,chocolate,7.2,0.0,15
2022-03-08,strawberry,7.2,0.0,2
2022-03-08,mango,7.2,0.0,2
2022-03-09,vanilla,7.2,0.0,8
2022-03-09,chocolate,7.2,0.0,10
2022-03-09,strawberry,7.2,0.0,10
2022-03-09,mango,7.2,0.0,2
2022-03-10,vanilla,10.7,0.0,6
2022-03-10,chocolate,10.7,0.0,14
2022-03-10,strawberry,10.7,0.0,9
2022-03-10,mango,10.7,0.0,0
2022-03-11,vanilla,8.3,0.0,8
2022-03-11,chocolate,8.3,0.0,16
2022-03-11,strawberry,8.3,0.0,15
2022-03-11,mango,8.3,0.0,2
2022-03-12,vanilla,5.8,0.0,6
2022-03-12,chocolate,5.8,0.0,16
2022-03-12,strawberry,5.8,0.0,15
2022-03-12,mango,5.8,0.0,2
2022-03-13,vanilla,6.4,0.0,14
2022-03-13,chocolate,6.4,0.0,16
2022-03-13,strawberry,6.4,0.0,11
2022-03-13,mango,6.4,0.0,0
2022-03-14,vanilla,7.1,13.8,0
2022-03-14,chocolate,7.1,13.8,3
2022-03-14,strawberry,7.1,13.8,2
2022-03-14,mango,7.1,13.8,1
2022-03-15,vanilla,10.9,3.6,2
2022-03-15,chocolate,10.9,3.6,10
2022-03-15,strawberry,10.9,3.6,13
2022-03-15,mango,10.9,3.6,1
2022-03-16,vanilla,10.2,0.0,8
2022-03-16,chocolate,10.2,0.0,12
2022-03-16,strawberry,10.2,0.0,17
2022-03-16,mango,10.2,0.0,0
2022-03-17,vanilla,11.8,0.0,10
2022-03-17,chocolate,11.8,0.0,9
2022-03-17,strawberry,11.8,0.0,9
2022-03-17,mango,11.8,0.0,1
2022-03-18,vanilla,9.3,3.2,10
2022-03-18,chocolate,9.3,3.2,13
2022-03-18,strawberry,9.3,3.2,8
2022-03-18,mango,9.3,3.2,0
2022-03-19,vanilla,10.9,0.0,22
2022-03-19,chocolate,10.9,0.0,13
2022-03-19,strawberry,10.9,0.0,11
2022-03-19,mango,10.9,0.0,0
2022-03-20,vanilla,12.3,0.0,19
2022-03-20,chocolate,12.3,0.0,20
2022-03-20,strawberry,12.3,0.0,26
2022-03-20,mango,12.3,0.0,0
2022-03-21,vanilla,10.2,0.0,14
2022-03-21,chocolate,10.2,0.0,11
2022-03-21,strawberry,10.2,0.0,13
2022-03-21,mango,10.2,0.0,0
2022-03-22,vanilla,12.4,0.0,16
2022-03-22,chocolate,12.4,0.0,16
2022-03-22,strawberry,12.4,0.0,12
2022-03-22,mango,12.4,0.0,2
2022-03-23,vanilla,9.8,0.0,6
2022-03-23,chocolate,9.8,0.0,8
2022-03-23,strawberry,9.8,0.0,9
2022-03-23,mango,9.8,0.0,0
2022-03-24,vanilla,10.8,0.0,13
2022-03-24,chocolate,10.8,0.0,16
2022-03-24,strawberry,10.8,0.0,9
2022-03-24,mango,10.8,0.0,1
2022-03-25,vanilla,10.9,0.0,9
2022-03-25,chocolate,10.9,0.0,13
2022-03-25,strawberry,10.9,0.0,9
2022-03-25,mango,10.9,0.0,0
2022-03-26,vanilla,9.1,0.0,18
2022-03-26,chocolate,9.1,0.0,14
2022-03-26,strawberry,9.1,0.0,24
2022-03-26,mango,9.1,0.0,1
2022-03-27,vanilla,13.6,0.0,12
2022-03-27,chocolate,13.6,0.0,23
2022-03-27,strawberry,13.6,0.0,22
2022-03-27,mango,13.6,0.0,2
2022-03-28,vanilla,11.4,0.0,17
2022-03-28,chocolate,11.4,0.0,9
2022-03-28,strawberry,11.4,0.0,12
2022-03-28,mango,11.4,0.0,1
2022-03-29,vanilla,12.8,0.4,7
2022-03-29,chocolate,12.8,0.4,11
2022-03-29,strawberry,12.8,0.4,19
2022-03-29,mango,12.8,0.4,1
2022-03-30,vanilla,14.2,23.2,0
2022-03-30,chocolate,14.2,23.2,0
2022-03-30,strawberry,14.2,23.2,3
2022-03-30,mango,14.2,23.2,0
2022-03-31,vanilla,14.3,7.4,4
2022-03-31,chocolate,14.3,7.4,5
2022-03-31,strawberry,14.3,7.4,2
2022-03-31,mango,14.3,7.4,2
2022-04-01,vanilla,15.1,0.0,14
2022-04-01,chocolate,15.1,0.0,20
2022-04-01,strawberry,15.1,0.0,17
2022-04-01,mango,15.1,0.0,3
2022-04-02,vanilla,13.4,0.0,21
2022-04-02,chocolate,13.4,0.0,21
2022-04-02,strawberry,13.4,0.0,24
2022-04-02,mango,13.4,0.0,2
2022-04-03,vanilla,12.8,0.6,20
2022-04-03,chocolate,12.8,0.6,14
2022-04-03,strawberry,12.8,0.6,29
2022-04-03,mango,12.8,0.6,0
2022-04-04,vanilla,13.9,0.0,16
2022-04-04,chocolate,13.9,0.0,14
2022-04-04,strawberry,13.9,0.0,19
2022-04-04,mango,13.9,0.0,1
2022-04-05,vanilla,10.1,0.0,15
2022-04-05,chocolate,10.1,0.0,11
2022-04-05,strawberry,10.1,0.0,7
2022-04-05,mango,10.1,0.0,1
2022-04-06,vanilla,10.9,0.0,10
2022-04-06,chocolate,10.9,0.0,5
2022-04-06,strawberry,10.9,0.0,16
2022-04-06,mango,10.9,0.0,2
2022-04-07,vanilla,11.4,0.0,18
2022-04-07,chocolate,11.4,0.0,14
2022-04-07,strawberry,11.4,0.0,6
2022-04-07,mango,11.4,0.0,0
2022-04-08,vanilla,12.5,2.3,21
2022-04-08,chocolate,12.5,2.3,6
2022-04-08,strawberry,12.5,2.3,15
2022-04-08,mango,12.5,2.3,0
2022-04-09,vanilla,16.2,7.5,11
2022-04-09,chocolate,16.2,7.5,6
2022-04-09,strawberry,16.2,7.5,13
2022-04-09,mango,16.2,7.5,1
2022-04-10,vanilla,13.1,0.0,21
2022-04-10,chocolate,13.1,0.0,12
2022-04-10,strawberry,13.1,0.0,24
2022-04-10,mango,13.1,0.0,0
2022-04-11,vanilla,14.7,2.3,17
2022-04-11,chocolate,14.7,2.3,21
2022-04-11,strawberry,14.7,2.3,20
2022-04-11,mango,14.7,2.3,2
2022-04-12,vanilla,19.1,0.0,27
2022-04-12,chocolate,19.1,0.0,9
2022-04-12,strawberry,19.1,0.0,18
2022-04-12,mango,19.1,0.0,5
2022-04-13,vanilla,15.1,1.0,14
2022-04-13,chocolate,15.1,1.0,9
2022-04-13,strawberry,15.1,1.0,16
2022-04-13,mango,15.1,1.0,0
2022-04-14,vanilla,18.1,7.3,6
2022-04-14,chocolate,18.1,7.3,7
2022-04-14,strawberry,18.1,7.3,7
2022-04-14,mango,18.1,7.3,0
2022-04-15,vanilla,14.1,11.3,3
2022-04-15,chocolate,14.1,11.3,5
2022-04-15,strawberry,14.1,11.3,4
2022-04-15,mango,14.1,11.3,0
2022-04-16,vanilla,16.1,0.0,34
2022-04-16,chocolate,16.1,0.0,19
2022-04-16,strawberry,16.1,0.0,26
2022-04-16,mango,16.1,0.0,4
2022-04-17,vanilla,14.5,4.5,19
2022-04-17,chocolate,14.5,4.5,10
2022-04-17,strawberry,14.5,4.5,15
2022-04-17,mango,14.5,4.5,1
2022-04-18,vanilla,16.2,1.5,15
2022-04-18,chocolate,16.2,1.5,16
2022-04-18,strawberry,16.2,1.5,21
2022-04-18,mango,16.2,1.5,3
2022-04-19,vanilla,19.3,0.0,33
2022-04-19,chocolate,19.3,0.0,19
2022-04-19,strawberry,19.3,0.0,33
2022-04-19,mango,19.3,0.0,6
2022-04-20,vanilla,13.1,0.0,26
2022-04-20,chocolate,13.1,0.0,12
2022-04-20,strawberry,13.1,0.0,26
2022-04-20,mango,13.1,0.0,3
2022-04-21,vanilla,18.7,0.0,34
2022-04-21,chocolate,18.7,0.0,19
2022-04-21,strawberry,18.7,0.0,29
2022-04-21,mango,18.7,0.0,3
2022-04-22,vanilla,18.4,8.1,14
2022-04-22,chocolate,18.4,8.1,15
2022-04-22,strawberry,18.4,8.1,9
2022-04-22,mango,18.4,8.1,2
2022-04-23,vanilla,16.5,0.0,31
2022-04-23,chocolate,16.5,0.0,17
2022-04-23,strawberry,16.5,0.0,40
2022-04-23,mango,16.5,0.0,4
2022-04-24,vanilla,14.6,0.0,27
2022-04-24,chocolate,14.6,0.0,9
2022-04-24,strawberry,14.6,0.0,22
2022-04-24,mango,14.6,0.0,1
2022-04-25,vanilla,18.5,0.0,35
2022-04-25,chocolate,18.5,0.0,31
2022-04-25,strawberry,18.5,0.0,25
2022-04-25,mango,18.5,0.0,1
2022-04-26,vanilla,17.2,18.3,5
2022-04-26,chocolate,17.2,18.3,1
2022-04-26,strawberry,17.2,18.3,5
2022-04-26,mango,17.2,18.3,0
2022-04-27,vanilla,19.3,0.0,29
2022-04-27,chocolate,19.3,0.0,17
2022-04-27,strawberry,19.3,0.0,34
2022-04-27,mango,19.3,0.0,6
2022-04-28,vanilla,19.0,0.0,29
2022-04-28,chocolate,19.0,0.0,16
2022-04-28,strawberry,19.0,0.0,20
2022-04-28,mango,19.0,0.0,9
2022-04-29,vanilla,23.1,0.1,30
2022-04-29,chocolate,23.1,0.1,21
2022-04-29,strawberry,23.1,0.1,43
2022-04-29,mango,23.1,0.1,12
2022-04-30,vanilla,18.7,1.3,40
2022-04-30,chocolate,18.7,1.3,18
2022-04-30,strawberry,18.7,1.3,38
2022-04-30,mango,18.7,1.3,12
2022-05-01,vanilla,16.9,11.4,11
2022-05-01,chocolate,16.9,11.4,7
2022-05-01,strawberry,16.9,11.4,11
2022-05-01,mango,16.9,11.4,2
2022-05-02,vanilla,20.0,0.0,26
2022-05-02,chocolate,20.0,0.0,20
2022-05-02,strawberry,20.0,0.0,34
2022-05-02,mango,20.0,0.0,14
2022-05-03,vanilla,20.3,7.4,11
2022-05-03,chocolate,20.3,7.4,5
2022-05-03,strawberry,20.3,7.4,15
2022-05-03,mango,20.3,7.4,4
2022-05-04,vanilla,23.3,0.0,31
2022-05-04,chocolate,23.3,0.0,25
2022-05-04,strawberry,23.3,0.0,25
2022-05-04,mango,23.3,0.0,10
2022-05-05,vanilla,22.2,0.0,53
2022-05-05,chocolate,22.2,0.0,31
2022-05-05,strawberry,22.2,0.0,27
2022-05-05,mango,22.2,0.0,12
2022-05-06,vanilla,21.1,0.0,40
2022-05-06,chocolate,21.1,0.0,28
2022-05-06,strawberry,21.1,0.0,29
2022-05-06,mango,21.1,0.0,11
2022-05-07,vanilla,24.1,0.0,79
2022-05-07,chocolate,24.1,0.0,28
2022-05-07,strawberry,24.1,0.0,59
2022-05-07,mango,24.1,0.0,14
2022-05-08,vanilla,17.6,0.0,39
2022-05-08,chocolate,17.6,0.0,10
2022-05-08,strawberry,17.6,0.0,26
2022-05-08,mango,17.6,0.0,18
2022-05-09,vanilla,19.1,0.3,33
2022-05-09,chocolate,19.1,0.3,14
2022-05-09,strawberry,19.1,0.3,22
2022-05-09,mango,19.1,0.3,11
2022-05-10,vanilla,18.5,0.0,35
2022-05-10,chocolate,18.5,0.0,20
2022-05-10,strawberry,18.5,0.0,11
2022-05-10,mango,18.5,0.0,9
2022-05-11,vanilla,20.0,0.0,38
2022-05-11,chocolate,20.0,0.0,16
2022-05-11,strawberry,20.0,0.0,33
2022-05-11,mango,20.0,0.0,16
2022-05-12,vanilla,17.7,0.0,30
2022-05-12,chocolate,17.7,0.0,12
2022-05-12,strawberry,17.7,0.0,24
2022-05-12,mango,17.7,0.0,18
2022-05-13,vanilla,22.9,0.0,40
2022-05-13,chocolate,22.9,0.0,20
2022-05-13,strawberry,22.9,0.0,38
2022-05-13,mango,22.9,0.0,28
2022-05-14,vanilla,20.9,0.0,49
2022-05-14,chocolate,20.9,0.0,28
2022-05-14,strawberry,20.9,0.0,51
2022-05-14,mango,20.9,0.0,22
2022-05-15,vanilla,17.9,7.0,17
2022-05-15,chocolate,17.9,7.0,7
2022-05-15,strawberry,17.9,7.0,13
2022-05-15,mango,17.9,7.0,11
2022-05-16,vanilla,19.1,0.0,37
2022-05-16,chocolate,19.1,0.0,16
2022-05-16,strawberry,19.1,0.0,21
2022-05-16,mango,19.1,0.0,12
2022-05-17,vanilla,22.6,0.0,62
2022-05-17,chocolate,22.6,0.0,18
2022-05-17,strawberry,22.6,0.0,30
2022-05-17,mango,22.6,0.0,29
2022-05-18,vanilla,24.0,0.0,52
2022-05-18,chocolate,24.0,0.0,24
2022-05-18,strawberry,24.0,0.0,38
2022-05-18,mango,24.0,0.0,23
2022-05-19,vanilla,27.0,0.0,60
2022-05-19,chocolate,27.0,0.0,17
2022-05-19,strawberry,27.0,0.0,47
2022-05-19,mango,27.0,0.0,33
2022-05-20,vanilla,29.4,0.0,90
2022-05-20,chocolate,29.4,0.0,30
2022-05-20,strawberry,29.4,0.0,35
2022-05-20,mango,29.4,0.0,37
2022-05-21,vanilla,23.3,0.0,87
2022-05-21,chocolate,23.3,0.0,30
2022-05-21,strawberry,23.3,0.0,41
2022-05-21,mango,23.3,0.0,37
2022-05-22,vanilla,19.9,0.0,42
2022-05-22,chocolate,19.9,0.0,13
2022-05-22,strawberry,19.9,0.0,35
2022-05-22,mango,19.9,0.0,27
2022-05-23,vanilla,17.2,1.7,14
2022-05-23,chocolate,17.2,1.7,6
2022-05-23,strawberry,17.2,1.7,20
2022-05-23,mango,17.2,1.7,12
2022-05-24,vanilla,23.3,0.0,51
2022-05-24,chocolate,23.3,0.0,13
2022-05-24,strawberry,23.3,0.0,41
2022-05-24,mango,23.3,0.0,20
2022-05-25,vanilla,20.7,0.0,52
2022-05-25,chocolate,20.7,0.0,8
2022-05-25,strawberry,20.7,0.0,23
2022-05-25,mango,20.7,0.0,26
2022-05-26,vanilla,21.8,29.7,3
2022-05-26,chocolate,21.8,29.7,1
2022-05-26,strawberry,21.8,29.7,2
2022-05-26,mango,21.8,29.7,1
2022-05-27,vanilla,21.4,0.0,34
2022-05-27,chocolate,21.4,0.0,14
2022-05-27,strawberry,21.4,0.0,23
2022-05-27,mango,21.4,0.0,18
2022-05-28,vanilla,22.6,0.0,62
2022-05-28,chocolate,22.6,0.0,16
2022-05-28,strawberry,22.6,0.0,47
2022-05-28,mango,22.6,0.0,27
2022-05-29,vanilla,25.7,0.0,75
2022-05-29,chocolate,25.7,0.0,25
2022-05-29,strawberry,25.7,0.0,67
2022-05-29,mango,25.7,0.0,49
2022-05-30,vanilla,23.5,0.0,58
2022-05-30,chocolate,23.5,0.0,14
2022-05-30,strawberry,23.5,0.0,36
2022-05-30,mango,23.5,0.0,25
2022-05-31,vanilla,22.8,0.0,42
2022-05-31,chocolate,22.8,0.0,16
2022-05-31,strawberry,22.8,0.0,29
2022-05-31,mango,22.8,0.0,22
2022-06-01,vanilla,20.7,0.0,29
2022-06-01,chocolate,20.7,0.0,4
2022-06-01,strawberry,20.7,0.0,22
2022-06-01,mango,20.7,0.0,31
2022-06-02,vanilla,19.2,0.0,24
2022-06-02,chocolate,19.2,0.0,7
2022-06-02,strawberry,19.2,0.0,37
2022-06-02,mango,19.2,0.0,21
2022-06-03,vanilla,22.2,0.0,46
2022-06-03,chocolate,22.2,0.0,20
2022-06-03,strawberry,22.2,0.0,37
2022-06-03,mango,22.2,0.0,20
2022-06-04,vanilla,23.4,0.0,59
2022-06-04,chocolate,23.4,0.0,14
2022-06-04,strawberry,23.4,0.0,65
2022-06-04,mango,23.4,0.0,31
2022-06-05,vanilla,28.0,0.0,72
2022-06-05,chocolate,28.0,0.0,24
2022-06-05,strawberry,28.0,0.0,47
2022-06-05,mango,28.0,0.0,73
2022-06-06,vanilla,23.9,0.0,69
2022-06-06,chocolate,23.9,0.0,16
2022-06-06,strawberry,23.9,0.0,26
2022-06-06,mango,23.9,0.0,20
2022-06-07,vanilla,26.1,0.0,54
2022-06-07,chocolate,26.1,0.0,19
2022-06-07,strawberry,26.1,0.0,36
2022-06-07,mango,26.1,0.0,44
2022-06-08,vanilla,22.5,0.0,47
2022-06-08,chocolate,22.5,0.0,18
2022-06-08,strawberry,22.5,0.0,30
2022-06-08,mango,22.5,0.0,26
2022-06-09,vanilla,20.8,0.0,44
2022-06-09,chocolate,20.8,0.0,15
2022-06-09,strawberry,20.8,0.0,34
2022-06-09,mango,20.8,0.0,36
2022-06-10,vanilla,21.4,0.0,30
2022-06-10,chocolate,21.4,0.0,8
2022-06-10,strawberry,21.4,0.0,24
2022-06-10,mango,21.4,0.0,25
2022-06-11,vanilla,22.0,0.0,62
